sample,rep_1,rep_2,Pass_coverage,hhsubid
100801008,1249.21944286526,2050.50045145972,Pass,100801
101102001,7884.62378356687,8413.12721131659,Pass,101102
101102003,5691.83563522055,9860.50917968097,Pass,101102
101102004,7646.76497341404,10447.0697588871,Pass,101102
101102005,6789.0453800622,13536.2167675484,Pass,101102
101102006,5168.65786041534,6269.65762632512,Pass,101102
101102007,7701.17546734441,3784.56940775173,Pass,101102
101102008,9909.02193759823,8763.70377554092,Pass,101102
101102009,1572.45403471224,1831.45099153931,Pass,101102
101104001,7635.7713941745,14064.2144266462,Pass,101104
101104003,10662.7034076848,7543.75152994683,Pass,101104
101104010,2268.6494666087,3993.6550847741,Pass,101104
101105001,4419.02621810521,13800.8302511454,Pass,101105
101105003,6674.31836270608,9357.33224091228,Pass,101105
101105004,3659.5256663211,9133.51212252951,Pass,101105
101105005,3301.7059157944,5903.48185800756,Pass,101105
101105006,1988.91940607966,2489.89425810119,Pass,101105
101105007,3224.42433869511,4700.34575126242,Pass,101105
101105008,3248.48423235127,3344.06594656055,Pass,101105
101105009,4541.67822626492,4814.018727218,Pass,101105
101105010,7677.56576263251,9208.8475069391,Pass,101105
101201001,7893.50901247367,7941.89837140086,Pass,101201
101201002,3865.61943617697,4786.63401665385,Pass,101201
101201003,6858.02397752734,9326.15433234124,Pass,101201
101201004,7468.574290205,10732.6335819149,Pass,101201
101201005,8570.17312644216,12610.0025749925,Pass,101201
101201006,5585.82938166739,8500.70708624553,Pass,101201
101201007,3847.48021937598,6171.66468247333,Pass,101201
101201008,1228.61197873123,3567.73935725513,Pass,101201
101701001,6375.47801223958,17365.7786844129,Pass,101701
101701003,2342.10570845735,10701.5697087249,Pass,101701
101701004,1016.99715747584,1554.69511420259,Pass,101701
101701005,2297.78460355148,3545.18071765375,Pass,101701
101703003,10258.304785473,4780.75062702739,Pass,101703
101703004,6695.15443266562,2891.96247868107,Pass,101703
101703005,7621.16984917901,3776.63639099756,Pass,101703
101703006,3063.7936996288,2623.33989900679,Pass,101703
101703007,1008.54783800956,1369.26000735712,Pass,101703
101703008,3846.00083603652,3733.63689261947,Pass,101703
101703009,2352.48319566599,4380.92455606461,Pass,101703
101703010,4650.85810788215,6673.04263786242,Pass,101703
101902001,14224.9065980002,3917.33107046116,Pass,101902
101902002,8356.85630204327,3699.22883991573,Pass,101902
101902004,9900.41838611511,1967.88245326556,Pass,101902
101902005,7842.23061231315,5781.20573186637,Pass,101902
101902006,6261.93087650069,6618.57917265826,Pass,101902
101902007,1842.94084205598,2645.50764137378,Pass,101902
101902008,1175.30645754607,1454.42708089489,Pass,101902
102101002,5274.61826572585,3901.38675049326,Pass,102101
102101003,3055.71039695014,3805.76811691135,Pass,102101
102101004,6487.1209912049,4406.15663980203,Pass,102101
102102001,7646.41216600341,5997.4716918035,Pass,102102
102102003,6587.52947864763,5190.0888874026,Pass,102102
102102005,4482.37825636224,4088.64063806307,Pass,102102
102201002,7965.93378590777,7834.20345784704,Pass,102201
102201003,8681.10122730161,6188.82088753637,Pass,102201
102201004,4093.88930876501,8044.77918603485,Pass,102201
102201005,4941.53760492258,7638.71624920577,Pass,102201
102201006,13248.4225662977,5638.09958867003,Pass,102201
102201007,1203.67267498244,6517.12129217804,Pass,102201
102201008,5387.11430291275,6494.66846135839,Pass,102201
102201009,7919.132394743,6428.42457278534,Pass,102201
102201010,3376.62351603518,6472.89904023008,Pass,102201
102202006,7540.67371166773,5702.23081296191,Pass,102202
102202008,8023.0424037722,6341.68123599639,Pass,102202
102202009,15227.6256562887,5549.5948901448,Pass,102202
102202010,17191.9687991171,6398.90368859312,Pass,102202
102301002,12394.0879844832,8734.5170718657,Pass,102301
102301003,9610.39922415811,6859.41273450824,Pass,102301
102301004,11814.1857338729,9294.88740260175,Pass,102301
102301005,9687.50051834264,6194.45684379494,Pass,102301
102301006,9487.38300504966,7163.83881215932,Pass,102301
102301007,6175.36029829783,6715.17285891048,Pass,102301
102301008,2970.15169046584,7938.58990736715,Pass,102301
102301009,2280.01223957462,3534.11610875163,Pass,102301
102301010,2855.10530715982,2936.23740092967,Pass,102301
102303005,3737.50041801826,5084.77988830552,Pass,102303
102303007,6303.83730729358,3629.84740661472,Pass,102303
102303008,9121.26917031736,9296.3227769789,Pass,102303
102303009,6640.50443099355,9400.99652208808,Pass,102303
102303010,11499.5200481557,10115.3241146373,Pass,102303
102401002,11829.2202789018,8220.99394709561,Pass,102401
102401003,12014.7834999833,6053.20696920041,Pass,102401
102401004,2678.70768819182,6048.56305387419,Pass,102401
102401005,3305.17968096846,5305.22081396515,Pass,102401
102401006,2141.75507474166,5232.98277764773,Pass,102401
102401007,4571.01357723305,6195.20098317895,Pass,102401
102501007,1673.58432264321,7712.67755743571,Pass,102501
102601002,6886.83714008628,9159.70056516069,Pass,102601
102601003,4780.34147075544,9511.29441862021,Pass,102601
102601004,7993.62652576665,5126.22957562786,Pass,102601
102601005,7557.15496772899,4024.59880279571,Pass,102601
102602001,6393.40781861352,9683.31337992844,Pass,102602
102602003,4455.11202889342,3253.85071731933,Pass,102602
102602004,13484.8716182323,3709.95472026218,Pass,102602
102602005,8629.99103768853,2716.80018727218,Pass,102602
102602006,4705.78035648597,1693.18459686319,Pass,102602
102602008,2771.2284386182,2620.75423870515,Pass,102602
102602010,3063.25455639902,4030.75413838076,Pass,102602
102603001,1453.63766177307,2258.49500050162,Pass,102603
102603003,9286.18931210915,2567.65448282781,Pass,102603
102603004,8965.39276995619,1228.87673477578,Pass,102603
102603006,7347.76828411865,2663.57151456376,Pass,102603
102603007,9406.00431394843,3900.94943651139,Pass,102603
102603008,7076.96445172725,6932.66474935625,Pass,102603
102603009,9724.03404340702,3870.16476607698,Pass,102603
102603010,3780.26428786409,7039.44905193459,Pass,102603
102604007,6606.16316088687,3141.4562752901,Pass,102604
102604009,9502.23459184697,6301.51871049727,Pass,102604
102604010,4524.51479784637,7641.14944988797,Pass,102604
102701002,1635.53850784202,7433.34127010668,Pass,102701
102701003,6575.09189713407,5638.91880413336,Pass,102701
102701004,7829.48125606126,4521.82593719694,Pass,102701
102703005,8159.1489148246,8572.08049359596,Pass,102703
102703007,5140.64739323814,7973.59967227368,Pass,102703
102703008,3252.94492191419,1934.18616861185,Pass,102703
102801002,4983.53646791292,3811.321840618,Pass,102801
102801003,5051.16908002542,8221.71374109621,Pass,102801
102801004,4926.66421429288,5069.70805604789,Pass,102801
102801005,5194.31184162124,4903.33752466308,Pass,102801
102901002,5850.64073838745,4529.58639601378,Pass,102901
102901003,3958.82737517975,1666.14470120055,Pass,102901
102901004,5768.06661538976,9159.00454803866,Pass,102901
102901005,4962.22044610909,7618.31351369428,Pass,102901
102901006,4622.32123867171,1648.07751730596,Pass,102901
102901010,4039.76928736247,7944.27231381467,Pass,102901
102902001,4293.31200882855,2715.16854496204,Pass,102902
102902004,6548.30505300471,8487.74353743771,Pass,102902
102902005,5505.0628365047,8420.08584422968,Pass,102902
102902006,7231.2580677524,6892.19091729927,Pass,102902
102902007,4033.03501320938,9847.31719225496,Pass,102902
102902008,5703.40320369194,1115.214560412,Pass,102902
102902009,5250.34518275758,6778.31113935057,Pass,102902
102902010,2435.58372069692,2794.39638163395,Pass,102902
103001002,4117.85105173394,17803.7656756847,Pass,103001
103001003,6442.20539745176,8637.91372103133,Pass,103001
103001004,6150.62933484935,5696.74745008862,Pass,103001
103001005,4229.49637160151,6952.63341470755,Pass,103001
103001006,9939.54486171956,10162.593017423,Pass,103001
103001007,9361.01040029428,6247.42714777781,Pass,103001
103001008,7708.20375882019,14472.4882118851,Pass,103001
103001009,4332.08631241013,4155.73474233355,Pass,103001
